# Dados do levantamento S4N originais + dados obtidos para a tese
#
#'HIP':       Designação no catálogo HIP
#'RAJ2000':   Ascensão Reta em graus
#'DEJ2000':   Declinação em graus
#'plx':       paralaxe em mas
#'pmRA':      movimento próprio em ascensão reta em mas/ano
#'pmDE':      movimento próprio em declinação em mas/ano
#'Vr':        velocidade na linha de visada em km/s
#'Rperi':     raio orbital perigaláctico em kpc
#'Rapo':      raio orbital apogaláctico em kpc
#'Rmed':      raio orbital médio em kpc
#'e':         excentricidade orbital
#'zmax':      distância máxima ao plano do disco em kpc
#'U':         componente U da velocidade espacial heliocentrica em km/s
#'V':         componente V da velocidade espacial heliocentrica em km/s
#'W':         componente W da velocidade espacial heliocentrica em km/s
#'Tef':       temperatura efetiva original em K
#'Tef_c':     temperatura efetiva calibrada em K
#'e_Tef':     erro da temperatura efetiva em K
#'logg':      logaritimo da gravidade superficial original, unidade cgs
#'logg_c':    logaritimo da gravidade superficial calibrada, unidade cgs
#'e_logg':    erro do logaritmo da gravidade superficial, unidade cgs
#'[Fe/H]':    metalicidade original
#'[Fe/H]_c':  metalicidade calibrada
#'e_[Fe/H]':  erro da metalicidade
#'GtMP':      idade isocronal mais provável em Ga, usando parâmetros originais
#'GtE':       idade isocronal esperada em Ga, usando parâmetros originais
#'Gt50':      idade isocronal mediana em Ga, usando parâmetros originais
#'dGt_inf':   erro inferior da idade isocronal em Ga, usando parâmetros originais
#'dGt_sup':   erro superior da idade isocronal em Ga, usando parâmetros originais
#'GctMP':     idade isocronal mais provável em Ga, usando parâmetros calibrados
#'GctE':      idade isocronal esperada em Ga, usando parâmetros calibrados
#'Gct50':     idade isocronal mediana em Ga, usando parâmetros calibrados
#'dGct_inf':  erro inferior da idade isocronal em Ga, usando parâmetros calibrados
#'dGct_sup':  erro superior da idade isocronal em Ga, usando parâmetros calibrados
#'KtMP':      idade cinemática mais provável em Ga
#'KtE':       idade cinemática esperada em Ga
#'Kt50':      idade cinemática mediana em Ga
#'dKt_inf':   erro inferior da idade cinemática em Ga
#'dKt_sup':   erro superior da idade cinemática em Ga
#'GcKtMP':    idade combinada mais provável em Ga, usando parâmetros calibrados
#'GcKtE':     idade combinada esperada em Ga, usando parâmetros calibrados
#'GcKt50':    idade combinada mediana em Ga, usando parâmetros calibrados
#'dGcKt_inf': erro inferior da idade combinada em Ga, usando parâmetros calibrados
#'dGcKt_sup': erro superior da idade combinada em Ga, usando parâmetros calibrados
#'[C/H]':     abundância de carbono original
#'[C/H]c':    abundância de carbono calibrada
#'e[C/H]':    erro da abundância de carbono
#'[O/H]':     abundância de oxigênio original
#'[O/H]c':    abundância de oxigênio calibrada
#'e[O/H]':    erro da abundância de oxigênio
#'[Mg/H]':    abundância de magnésio original
#'[Mg/H]c':   abundância de magnésio calibrada
#'e[Mg/H]':   erro da abundância de magnésio
#'[Si/H]':    abundância de silício original
#'[Si/H]c':   abundância de silício calibrada
#'e[Si/H]':   erro da abundância de silício
#'[Ca/H]':    abundância de cálcio original
#'[Ca/H]c':   abundância de cálcio calibrada
#'e[Ca/H]':   erro da abundância de cálcio
#'[Sc/H]':    abundância de estrôncio original
#'[Sc/H]c':   abundância de estrôncio calibrada
#'e[Sc/H]':   erro da abundância de estrôncio
#'[Ti/H]':    abundância de titânio original
#'[Ti/H]c':   abundância de titânio calibrada
#'e[Ti/H]':   erro da abundância de titânio
#'[Co/H]':    abundância de cobalto original
#'[Co/H]c':   abundância de cobalto calibrada
#'e[Co/H]':   erro da abundância de cobalto
#'[Ni/H]':    abundância de níquel original
#'[Ni/H]c':   abundância de níquel calibrada
#'e[Ni/H]':   erro da abundância de níquel
#'[Cu/H]':    abundância de cobre original
#'[Cu/H]c':   abundância de cobre calibrada
#'e[Cu/H]':   erro da abundância de cobre
#'[Zn/H]':    abundância de zinco original
#'[Zn/H]c':   abundância de zinco calibrada
#'e[Zn/H]':   erro da abundância de zinco
#'[Y/H]':     abundância de ítrio original
#'[Y/H]c':    abundância de ítrio calibrada
#'e[Y/H]':    erro da abundância de ítrio
#'[Ba/H]':    abundância de bário original
#'[Ba/H]c':   abundância de bário calibrada
#'e[Ba/H]':   erro da abundância de bário
#'[Ce/H]':    abundância de cério original
#'[Ce/H]c':   abundância de cério calibrada
#'e[Ce/H]':   erro da abundância de cério
#'[Nd/H]':    abundância de neodímio original
#'[Nd/H]c':   abundância de neodímio calibrada
#'e[Nd/H]':   erro da abundância de neodímio
#'[Eu/H]':    abundância de európio original
#'[Eu/H]c':   abundância de európio calibrada
#'e[Eu/H]':   erro da abundância de európio
#
'HIP', 'RAJ2000', 'DEJ2000', 'plx', 'pmRA', 'pmDE', 'Vr', 'Rperi', 'Rapo', 'Rmed', 'e', 'zmax', 'U', 'V', 'W', 'Tef', 'Tef_c', 'e_Tef', 'logg', 'logg_c', 'e_logg', '[Fe/H]', '[Fe/H]_c', 'e_[Fe/H]', 'GtML', 'GtE', 'Gt50', 'dGt_inf', 'dGt_sup', 'GctML', 'GctE', 'Gct50', 'dGct_inf', 'dGct_sup', 'KtML', 'KtE', 'Kt50', 'dKt_inf', 'dKt_sup', 'GcKtML', 'GcKtE', 'GcKt50', 'dGcKt_inf', 'dGcKt_sup', '[C/H]', '[C/H]_fix', 'e_[C/H]', '[O/H]', '[O/H]_fix', 'e_[O/H]', '[Mg/H]', '[Mg/H]_fix', 'e_[Mg/H]', [Si/H]', '[Si/H]c', 'e[Si/H]', '[Ca/H]', '[Ca/H]c', 'e[Ca/H]', '[Sc/H]', '[Sc/H]c', 'e[Sc/H]', '[Ti/H]', '[Ti/H]c', 'e[Ti/H]', '[Co/H]', '[Co/H]c', 'e[Co/H]', '[Ni/H]', '[Ni/H]c', 'e[Ni/H]', '[Cu/H]', '[Cu/H]c', 'e[Cu/H]', '[Zn/H]', '[Zn/H]c', 'e[Zn/H]', '[Y/H]', '[Y/H]c', 'e[Y/H]', '[Ba/H]', '[Ba/H]c', 'e[Ba/H]', '[Ce/H]', '[Ce/H]c', 'e[Ce/H]', '[Nd/H]', '[Nd/H]c', 'e[Nd/H]', '[Eu/H]', '[Eu/H]c', 'e[Eu/H]'
171,0.5402,27.0845,80.63,778.59,-918.72,-36.2,4.379978833829621,8.006107834987205,6.193043334408412,0.2927582454502531,0.3814210888138041,-8.231950525463853,-72.55085636737884,-31.495753323495077,5361.0,5494.40999814,119.0,4.61,4.56388835487,0.04,-0.88,-0.741731934699,0.09,13.5,8.79,9.26,4.42,2.99,13.5,9.24,9.7,3.869999999999999,2.6500000000000004,13.5,10.16,10.51,3.01,2.0999999999999996,13.5,10.72,11.06,2.58,1.7199999999999989,-0.34,-0.32878907578600003,0.0,-0.3,-0.427057141087,0.0,-0.51,-0.491315126311,0.03,-0.5,-0.473841176835,0.03,-0.6,-0.5626302526210001,0.01,-0.44,-0.417578151573,0.03,-0.33,-0.292630252621,0.0,-0.63,-0.532838656816,0.05,-0.8,-0.702838656816,0.03,-0.86,-0.7516277326019999,0.0,-0.51,-0.4801042020970001,0.0,-0.58,-0.538893277883,0.0,-1.0,-0.8916277326019999,0.17,-0.64,-0.591419328408,0.0,-0.66,-0.615156303146,0.0,-0.35,-0.346263025262,0.0
544,1.6522,29.0219,72.98,379.94,-178.34,-6.2,7.31488175030695,8.037916059661956,7.676398904984451,0.047094628503836916,0.04652532840935855,-15.167259941080804,-21.043116765998853,-10.43275554277644,5353.0,5477.1949971,97.0,4.553,4.51254917193,0.047,0.03,0.149500340851,0.07,3.0,5.2,4.37,3.37,4.21,3.1,4.65,3.9,2.9899999999999998,3.61,0.6,3.84,2.64,1.8800000000000001,4.779999999999999,0.7,2.99,2.28,1.5199999999999998,2.97,0.2,0.2,0.0,0.06,-0.0723039487991,0.0,-0.04,0.0410895170059,0.02,0.13,0.13,0.09,0.06,0.06,0.02,0.13,0.142803607948,0.03,0.14,0.157071477264,0.02,0.01,0.0697501704254,0.04,0.0,0.0640180397415,0.01,-0.09,-0.0131783523102,0.0,0.13,0.15133934658099998,0.0,0.21,0.239875085213,0.0,0.14,0.246696732903,0.13,0.24,0.274142954529,0.0,0.17,0.199875085213,0.0,0.08,0.0928036079483,0.0
1599,5.008,-64.8776,116.38,1707.5601,1165.36,8.9,6.894029239758034,10.781179145572727,8.837604192665381,0.21992102277225592,0.7900366751937508,-72.15836270407922,-3.5880018063614827,-44.163692115261725,5851.0,5999.69652598,114.0,4.468,4.42882853698,0.067,-0.29,-0.142173044345,0.07,6.0,6.16,5.84,3.5999999999999996,3.6500000000000004,3.8,4.3,3.83,2.6500000000000004,2.8099999999999996,9.4,9.0,9.06,3.040000000000001,2.8599999999999994,5.9,6.44,6.21,1.75,2.1100000000000003,-0.23,-0.208260741815,0.0,0.02,-0.0973919941964,0.0,-0.24,-0.14434726398800002,0.01,-0.19,-0.13347792872000006,0.02,-0.16,-0.125217186905,0.09,-0.07,-0.0395650385417,0.03,-0.08,-0.0408693352679,0.01,-0.24,-0.11391230252999998,0.03,-0.27,-0.178695115625,0.03,-0.29,-0.198695115625,0.0,-0.25,-0.167390818899,0.0,-0.13,-0.0778257803572,0.0,-0.26,-0.125216599256,0.2,-0.07,-0.0134779287202,0.0,-0.05,0.0108699229167,0.0,-0.07,-0.0395650385417,0.0
2021,6.4133,-77.255,133.78,2220.1201,324.37,,,,,,,,,,5772.0,5950.62309584,118.0,3.999,4.01153246661,0.098,-0.16,0.02165060594,0.05,10.0,10.0,10.01,2.08,2.0600000000000005,6.4,6.69,6.57,1.63,1.7400000000000002,,,,,,,,,,,-0.06,-0.034770749175,0.0,-0.09,-0.23128380462,0.0,-0.17,-0.064037146535,0.08,-0.07,0.005687752474979999,0.02,0.02,0.055320951155000006,0.07,-0.03,0.005320951154989999,0.02,0.0,0.045412651485,0.0,-0.12,0.00110040395997,0.05,-0.12,0.006146254124970001,0.01,-0.13,0.03146720528,0.0,-0.07,0.035962853465,0.0,-0.08,-0.014403947855,0.0,-0.1,0.056421355115,0.09,-0.09,-0.01935809769,0.0,-0.05,0.02064190231,0.0,-0.08,-0.03963319868,0.0
3093,9.8421,21.2514,90.03,-461.07,-370.88,-33.2,6.585124680192647,9.291847710721534,7.9384861954570916,0.17048105670813185,0.2495137703050961,40.1464876918506,-19.696931176131734,8.560340863888742,5117.0,5213.71558701,94.0,4.5760000000000005,4.52910024833,0.04,0.13,0.202022245649,0.06,2.7,5.25,4.38,3.3899999999999997,4.37,5.5,6.18,5.79,3.72,3.96,3.2,6.19,5.64,2.9899999999999998,4.3500000000000005,4.0,5.72,5.3,2.53,3.3899999999999997,0.26,0.25657036925500004,0.0,0.23,0.109962923919,0.0,0.2,0.261733353413,0.1,0.29,0.265992584784,0.03,0.18,0.18,0.0,0.36,0.36685926149,0.04,0.34,0.350288892236,0.01,0.33,0.34714815372599994,0.04,0.27,0.297437045961,0.0,0.29,0.331155568942,0.0,0.46,0.473718522981,0.0,0.3,0.327437045961,0.0,0.14,0.218881507139,0.08,0.25,0.277437045961,0.0,0.24,0.264007415216,0.0,0.28,0.28,0.0
3765,12.0939,5.2834,134.04,758.04,-1141.22,-9.9,5.605213535714455,8.02234329353917,6.813778414626813,0.1773707340288596,0.08940452747924299,-1.2485671446470177,-47.53232508437382,-13.594677186808088,4980.0,5056.02986481,92.0,4.652,4.595873710859999,0.051,-0.25,-0.186641779326,0.04,0.1,5.73,4.72,3.8899999999999997,5.069999999999999,6.6,6.82,6.48,4.540000000000001,4.5,6.3,7.58,7.47,3.59,3.830000000000001,6.5,7.45,7.3,3.36,3.7,-0.25,-0.25,0.0,-0.13,-0.22090527314,0.0,-0.15,-0.0701135478463,0.0,-0.15,-0.17203764197299998,0.1,-0.16,-0.157245294753,0.04,-0.1,-0.0972452947533,0.05,-0.11,-0.104490589507,0.03,-0.15,-0.119698242287,0.06,-0.2,-0.17796235802700006,0.02,-0.24,-0.209698242287,0.0,-0.15,-0.15275470524700002,0.0,-0.2,-0.180717063273,0.0,-0.31,-0.25215118981999995,0.0,-0.07,-0.04520765277990002,0.0,-0.01,0.0120376419734,0.0,0.06,0.057245294753300015,0.0
3821,12.2713,57.8165,167.99,1087.11,-559.65,9.8,7.584430792994167,8.758205288898742,8.171318040946455,0.07182283751671369,0.1423808915649938,-30.214406280273913,-9.427219046013018,-16.874138212134053,5801.0,5952.80410853,132.0,4.47,4.4334164304,0.07400000000000001,-0.4,-0.246662516641,0.08,8.1,7.33,7.3,4.21,3.750000000000001,5.2,5.69,5.29,3.33,3.499999999999999,1.8,5.07,4.25,2.5,4.51,3.0,4.66,4.22,2.2199999999999998,3.0300000000000002,0.03,0.0530006225038,0.0,-0.2,-0.315003112519,0.0,-0.43,-0.326497198733,0.04,-0.25,-0.19249844374,0.02,-0.36,-0.30633188082400004,0.02,-0.18,-0.145499066244,0.02,-0.16,-0.12166562916,0.0,-0.35,-0.246497198733,0.05,-0.32,-0.220330635817,0.04,-0.37,-0.243496576229,0.0,-0.32,-0.243331258321,0.0,-0.17,-0.116331880824,0.0,-0.39,-0.251996264977,0.19,-0.15,-0.0924984437404,0.0,-0.21,-0.148665006656,0.0,-0.14,-0.124666251664,0.0
4148,13.253,-30.357,71.01,620.5,31.31,-18.8,7.069328068462903,8.551781643321014,7.810554855891957,0.0949006570090095,0.4256560117909592,-36.31864509246501,-19.9307702980056,18.905317427358533,4898.0,4979.73041385,101.0,4.631,4.57697306955,0.042,-0.15,-0.0987499055041,0.07,3.2,6.12,5.4,4.12,4.84,9.7,7.54,7.59,4.619999999999999,3.9299999999999997,2.3,5.7,5.03,2.9000000000000004,4.55,3.5,6.3,5.9,3.2500000000000004,4.17,-0.27,-0.27,0.0,-0.58,-0.6878949357809999,,-0.07,0.002829081652,0.01,-0.08,-0.120460600918,0.07,-0.06,-0.06,0.01,-0.02,-0.0226973733945,0.09,-0.03,-0.0273026266055,0.04,-0.08,-0.055723639449300005,0.06,-0.12,-0.109210506422,0.06,-0.17,-0.143026266055,0.0,-0.02,-0.0280921201836,0.0,0.06,0.0815789871561,0.0,-0.07,-0.00796041192607,0.07,0.01,0.0369737339452,0.0,0.11,0.134276360551,0.0,0.15,0.155394746789,0.0
5336,17.0538,54.9242,132.4,3421.4399,-1599.27,-97.4,1.5624336715784084,8.112685030277179,4.837559350927794,0.6770202578953889,0.4882419110314926,-43.021707589959725,-157.08558613563432,-35.29105815593745,5323.0,5450.05471626,119.0,4.665,4.61270835824,0.043,-0.91,-0.778318641411,0.08,7.5,7.02,6.78,4.62,4.37,9.3,7.6,7.65,4.5200000000000005,3.8599999999999994,13.5,12.42,12.65,1.2200000000000006,0.629999999999999,13.5,12.38,12.61,1.2599999999999998,0.6500000000000004,-0.55,-0.539323133087,0.0,0.61,0.496113419599,0.0,-0.55,-0.539323133087,0.04,-0.52,-0.502205221812,0.02,-0.65,-0.625087310537,0.01,-0.5,-0.478646266175,0.05,-0.41,-0.385087310537,0.02,-0.65,-0.557467153424,0.03,-0.75,-0.678820887249,0.02,-0.84,-0.736790286511,0.0,-0.62,-0.595087310537,0.0,-0.6,-0.560851487987,0.0,-0.94,-0.851026109062,0.13,-0.58,-0.533733576712,0.0,-0.64,-0.59729253235,0.0,-0.28,-0.272882088725,0.0
7513,24.1999,41.4064,74.25,-172.57,-381.01,-28.0,6.705292707751013,8.806838125253446,7.7560654165022305,0.13547754593656916,0.10596153693143497,28.32218419553371,-22.07836965658597,-14.405467823871165,6100.0,6238.20917465,116.0,4.166,4.132848676569998,0.103,0.02,0.151060424236,0.04,4.2,5.2,5.11,1.37,1.4899999999999993,3.2,3.44,3.29,0.7800000000000002,1.13,3.1,6.12,5.56,2.9899999999999998,4.39,3.2,3.48,3.31,0.6800000000000002,1.06,0.06,0.0838291680429,0.0,0.06,-0.0313451441645,0.0,-0.01,0.07737361615739999,0.06,0.11,0.173544448114,0.05,0.09,0.137658336086,0.09,0.09,0.11780069605,0.04,0.11,0.149715280072,0.06,0.08,0.175316672172,0.03,0.05,0.145316672172,0.02,0.05,0.165174312207,0.0,-0.04,0.0592882001788,0.0,0.13,0.181629864093,0.0,0.12,0.223259728186,0.01,0.11,0.16560139210000002,0.0,0.2,0.263544448114,0.0,0.07,0.08588611202860001,0.0
